admin,admin@xeltrix.com,Admin@123
johndoe,john@xeltrix.com,qwerty123
janedoe,jane@xeltrix.com,12345678
mark.t,mark@xeltrix.com,password1
alice1989,alice@xeltrix.com,alicepass
bob_smith,bob@xeltrix.com,letmein!
charlie,charlie@xeltrix.com,charlie123
eve,eve@xeltrix.com,shadowhunter
frank99,frank@xeltrix.com,iloveyou
david,david@xeltrix.com,dragon123
hannah,hannah@xeltrix.com,admin1234
kevin,kevin@xeltrix.com,winter2024
nina,nina@xeltrix.com,pa$$w0rd
lucas,lucas@xeltrix.com,toor
emily,emily@xeltrix.com,test123
zoe_root,zoe@xeltrix.com,rootaccess
mohammed,mohammed@xeltrix.com,passw0rd!
test_user,test@xeltrix.com,test
backup_admin,backup@xeltrix.com,BackMeUp!
